x,y,z,v,t
77074,-8297,4273,110,0
76627,-7923,4221,110,5
76177,-7568,4170,112,10
75721,-7232,4120,114,14
75254,-6922,4073,116,19
74775,-6632,4030,116,23
74286,-6354,3987,116,28
73789,-6104,3947,116,33
73283,-5892,3910,116,37
72768,-5707,3876,117,42
72249,-5527,3845,117,46
71726,-5344,3813,117,51
71203,-5162,3782,117,56
70681,-4980,3747,118,60
70156,-4798,3708,119,65
69629,-4620,3669,120,69
69096,-4445,3632,121,74
68559,-4267,3600,121,79
68020,-4085,3568,121,83
67481,-3904,3532,121,88
66940,-3729,3495,121,92
66395,-3558,3455,122,97
65846,-3380,3414,123,102
65293,-3197,3373,124,106
64736,-3024,3333,125,111
64179,-2855,3296,126,116
63619,-2681,3260,126,120
63053,-2494,3223,126,125
62484,-2307,3187,126,129
61915,-2126,3153,126,134
61346,-1954,3122,126,139
60779,-1785,3091,126,143
60208,-1613,3058,126,148
59638,-1437,3025,127,152
59066,-1255,2987,127,157
58493,-1072,2948,127,162
57919,-889,2912,127,166
57346,-714,2879,127,171
56775,-544,2848,127,175
56205,-363,2818,127,180
55634,-170,2792,127,185
55060,25,2774,127,189
54486,216,2764,127,194
53913,399,2758,127,199
53341,578,2757,127,203
52769,761,2757,127,208
52201,948,2757,127,212
51636,1132,2757,127,217
51070,1314,2756,126,222
50505,1491,2755,125,226
49944,1670,2749,124,231
49386,1850,2737,124,235
48828,2029,2717,124,240
48270,2205,2696,124,245
47713,2378,2675,124,249
47157,2552,2653,124,254
46603,2725,2627,124,259
46052,2893,2601,124,263
45499,3056,2571,124,268
44949,3221,2541,124,272
44398,3395,2510,124,277
43845,3576,2479,124,282
43292,3758,2448,124,286
42737,3929,2417,124,291
42180,4089,2387,124,295
41617,4236,2356,123,300
41053,4362,2326,123,305
40488,4461,2295,123,309
39923,4543,2265,123,314
39355,4607,2234,122,318
38785,4646,2204,121,323
38217,4670,2173,120,328
37650,4687,2143,120,332
37088,4705,2113,120,337
36529,4719,2086,120,341
35973,4732,2063,120,346
35414,4755,2041,120,351
34854,4786,2017,120,355
34293,4814,1993,119,360
33736,4836,1972,118,365
33180,4850,1950,118,369
32626,4862,1925,118,374
32071,4877,1898,118,378
31519,4897,1874,118,383
30969,4909,1856,118,388
30417,4914,1844,118,392
29864,4919,1840,118,397
29308,4931,1838,118,401
28748,4947,1839,118,406
28187,4964,1841,118,411
27631,4980,1842,118,415
27076,4993,1842,118,420
26518,5004,1842,118,424
25958,5014,1842,118,429
25396,5027,1842,118,434
24833,5040,1842,118,438
24269,5052,1842,118,443
23706,5066,1843,117,447
23144,5082,1843,116,452
22590,5101,1843,115,457
22043,5117,1839,115,461
21501,5130,1827,115,466
20961,5142,1807,115,471
20420,5156,1782,115,475
19877,5171,1754,115,480
19332,5187,1724,115,484
18788,5204,1694,115,489
18246,5219,1668,114,494
17709,5231,1644,114,498
17173,5240,1623,114,503
16637,5250,1598,113,507
16102,5262,1575,112,512
15568,5272,1555,111,517
15040,5283,1537,111,521
14514,5292,1519,111,526
13993,5300,1500,111,530
13475,5305,1481,110,535
12956,5317,1462,109,540
12440,5333,1444,109,544
11928,5351,1427,109,549
11419,5373,1407,109,553
10915,5396,1384,109,558
10407,5417,1360,108,563
9899,5434,1338,108,567
9391,5450,1316,108,572
8888,5467,1291,108,576
8385,5487,1263,108,581
7882,5509,1239,107,586
7379,5533,1216,107,590
6877,5555,1194,107,595
6378,5577,1169,107,599
5882,5599,1141,107,604
5385,5621,1113,107,609
4887,5644,1086,106,613
4391,5667,1063,105,618
3896,5690,1041,105,622
3401,5712,1015,105,627
2907,5735,989,105,631
2415,5756,965,105,636
1926,5777,947,105,641
1437,5798,937,105,645
950,5820,933,104,650
466,5836,931,103,654
-13,5836,931,103,659
-488,5802,931,103,663
-950,5721,931,102,668
-1396,5589,930,101,672
-1823,5410,929,101,677
-2233,5200,923,101,681
-2636,4970,911,101,686
-3035,4726,891,101,690
-3432,4471,870,101,695
-3825,4211,849,101,700
-4216,3945,827,100,704
-4607,3674,802,99,709
-4995,3404,776,98,713
-5374,3132,751,96,718
-5732,2850,728,94,723
-6061,2553,706,92,727
-6358,2242,684,90,732
-6621,1920,666,88,736
-6858,1592,649,86,741
-7077,1263,631,84,745
-7287,938,613,82,750
-7487,617,594,79,755
-7677,302,575,76,759
-7855,-6,558,74,764
-8025,-307,542,72,768
-8186,-598,526,70,773
-8336,-881,509,68,777
-8480,-1157,491,66,782
-8621,-1427,472,64,787
-8759,-1688,452,63,791
-8895,-1943,432,62,796
-9031,-2194,411,61,800
-9167,-2445,392,61,805
-9303,-2701,375,61,810
-9435,-2958,359,61,814
-9565,-3215,344,61,819
-9697,-3471,331,61,823
-9831,-3730,320,61,828
-9971,-3990,308,61,833
-10114,-4253,294,62,837
-10257,-4518,280,62,842
-10401,-4785,265,62,846
-10546,-5053,246,62,851
-10691,-5324,225,62,856
-10833,-5597,205,62,860
-10974,-5869,187,62,865
-11117,-6140,171,62,869
-11261,-6409,155,62,874
-11404,-6676,139,62,879
-11545,-6938,124,62,883
-11684,-7198,109,62,888
-11823,-7456,94,61,892
-11963,-7716,78,60,897
-12104,-7978,63,60,902
-12245,-8242,48,60,906
-12387,-8506,33,60,911
-12527,-8771,22,60,916
-12667,-9036,15,60,920
-12807,-9300,12,60,926
-12945,-9565,11,60,931
-13078,-9829,11,60,935
